id;application_date_estimated;application_period;genre;application_postcode;shows_count;act_name;was_approved;granted;women_count;men_count;nonbinaries_count;show_date;show_postcode;show_city;show_venue;show_audience_estimated;show_members_count;show_application_amount
13128248;01-01-2022;2021/22;Jazz og beslægtede genrer;1453;2;a6335676f6847dadee9f27f5eb42c9d1992b62b294d3fbf34138448304a3cc58;TRUE;4600;1;4;0;02-12-2021;8000;Århus;Radar;50;04-jul;2500
13128248;01-01-2022;2021/22;Jazz og beslægtede genrer;1453;2;a6335676f6847dadee9f27f5eb42c9d1992b62b294d3fbf34138448304a3cc58;TRUE;4600;1;4;0;03-12-2021;8900;NA;Turbinen;75;04-jul;2100
13128320;01-01-2022;2021/22;Jazz og beslægtede genrer;3550;1;f7da80cf05871ff23f124fbdc355ae9dc54d9a70e4662e9735f49a8896a34003;TRUE;2500;1;6;0;10-12-2021;9900;Frederikshavn;Knivholts Venner;150;04-jul;2500
13129039;01-01-2022;2021/22;Jazz og beslægtede genrer;7620;2;040d6483adde35c7d2684b96d846112b21d2c652d7b4c979207e3ec42c76e2b4;TRUE;2100;1;5;0;04-12-2021;6100;Haderslev;Månen;NA;04-jul;2100
13129039;01-01-2022;2021/22;Jazz og beslægtede genrer;7620;2;040d6483adde35c7d2684b96d846112b21d2c652d7b4c979207e3ec42c76e2b4;TRUE;2100;1;5;0;18-12-2021;7500;NA;Hotel Schaumburg;NA;04-jul;2100
13129170;01-01-2022;2021/22;Rock, pop og beslægtede genrer (herunder hiphop og elektronisk);2100;4;fafc60a0427a51a3c942b9705c721bb65eb5349955ec6ae04955e47bf71d09a7;FALSE;NA;0;3;0;29-12-2021;8000;Aarhus;Marselisborg Centret;20;1;800
13129170;01-01-2022;2021/22;Rock, pop og beslægtede genrer (herunder hiphop og elektronisk);2100;4;fafc60a0427a51a3c942b9705c721bb65eb5349955ec6ae04955e47bf71d09a7;FALSE;NA;0;3;0;29-12-2021;8000;NA;Marselisborg Centret;20;1;800
13129170;01-01-2022;2021/22;Rock, pop og beslægtede genrer (herunder hiphop og elektronisk);2100;4;fafc60a0427a51a3c942b9705c721bb65eb5349955ec6ae04955e47bf71d09a7;FALSE;NA;0;3;0;29-12-2021;8000;Aarhus;Marselisborg Centret;20;1;800
13129170;01-01-2022;2021/22;Rock, pop og beslægtede genrer (herunder hiphop og elektronisk);2100;4;fafc60a0427a51a3c942b9705c721bb65eb5349955ec6ae04955e47bf71d09a7;FALSE;NA;0;3;0;29-12-2021;8000;Aarhus;Marselisborg Centret;20;1;800
13131247;01-01-2022;2021/22;Rock, pop og beslægtede genrer (herunder hiphop og elektronisk);1879;1;177a1048307e107b21c3a93b403835382a98c2cfb67131e601b5cedb29c29b81;FALSE;NA;0;5;0;04-12-2021;8700;Horsens;Platform K;150;04-jul;2500
13130286;01-01-2022;2021/22;Jazz og beslægtede genrer;4700;3;61a81de4f93c19da01b2b309f17232a6e39023d8e9d1b7627a5520486f01c3a8;TRUE;3600;0;2;0;01-12-2021;9640;Farsø;Johannes V. Jensen og Thit Jensen Museet;35;02-mar;1800
13130286;01-01-2022;2021/22;Jazz og beslægtede genrer;4700;3;61a81de4f93c19da01b2b309f17232a6e39023d8e9d1b7627a5520486f01c3a8;TRUE;3600;0;2;0;12-12-2021;3700;NA;Musikhuset Rønne;70;04-jul;4100
13130286;01-01-2022;2021/22;Jazz og beslægtede genrer;4700;3;61a81de4f93c19da01b2b309f17232a6e39023d8e9d1b7627a5520486f01c3a8;TRUE;3600;0;2;0;03-12-2021;7990;Øster Assels;Kulturkøbmanden;30;02-mar;1800
